microbe,disease,effect,pmid,evidence,SCD,evidence_record_count
Streptococcus,psoriasis,increase,10671976,Streptococcal throat infection precedes guttate psoriasis and superantigens from Streptococcus activate T cells leading to disease induction,"Superantigens from Streptococcus and Staphylococcus aureus activate T cells leading to cytokine release, which plays a pivotal role in the pathogenesis of psoriasis and atopic dermatitis",1
Staphylococcus aureus,atopic dermatitis,increase,10671976,Colonization with Staphylococcus aureus exacerbates atopic dermatitis and its superantigens induce eczematoid reactions,"Superantigens from Streptococcus and Staphylococcus aureus activate T cells leading to cytokine release, which plays a pivotal role in the pathogenesis of psoriasis and atopic dermatitis",1
Fusobacterium varium,ulcerative colitis,increase,12164960,Fusobacterium varium was localized in the colonic mucosa of patients with ulcerative colitis and stimulated species-specific antibody production,,1
Mycobacterium paratuberculosis,Crohns disease,increase,15307874,Detection of DNA in granulomas of patients with Crohn's disease,,1
Escherichia coli,Crohns disease,increase,15307874; 18401439; 19235912; 20722058; 22529960; 24398881; 27083382; 28179361,"DNA detected in microdissected granulomas in 12/15 Crohn's disease patients || An increased prevalence of mucosal bacteria has been observed in CD patients, with higher levels of E. coli || Higher E. coli counts, particularly adherent-invasive E. coli (AIEC), were characteristic of CD patients, especially those with Crohn's ileitis || More represented in ileal CD patients || Elevated abundance in faecal and ulcerated mucosa of CD patients || Increased in patients with CD || Increased proportion in CD patients compared to healthy controls || Associated with an increase in CD compared to healthy controls","Crohn's disease is characterized by predominant Th1/Th17 mucosal T cell responses and alterations in peripheral T cell populations, including expression of intestinal homing receptors such as α4β7 integrin. || TNF-α inhibitor application significantly influences bacterial communities in CD patients",8
Vibrio vulnificus,septicemia,increase,15496235,Infection reported in patients with septicemia and leg gangrene,,1
Vibrio vulnificus,wound infection,increase,15496235,Described as one of the major syndromes in patients,,1
Vibrio vulnificus,gastrointestinal diseases,increase,15496235,Described as one of the major syndromes in patients,,1
Vibrio vulnificus,necrotizing fasciitis,increase,15496235,50% of patients with V. vulnificus infection developed necrotizing fasciitis,,1
Vibrio vulnificus,spontaneous bacterial peritonitis,increase,15496235,7.1% of patients developed spontaneous bacterial peritonitis,,1
Vibrio vulnificus,meningitis,increase,15496235,1.2% of patients developed meningitis,,1
Lactobacillus spp.,Irritable Bowel Syndrome,decrease,15667495,Lower amounts of Lactobacillus spp. were present in the samples of diarrhea predominant IBS patients,,1
Veillonella spp.,Irritable Bowel Syndrome,increase,15667495,Constipation predominant IBS patients carried increased amounts of Veillonella spp.,,1
Clostridium coccoides subgroup,Irritable Bowel Syndrome,increase,15667495,Differences in the Clostridium coccoides subgroup between IBS patients and controls,,1
Bifidobacterium catenulatum group,Irritable Bowel Syndrome,increase,15667495,Differences in the Bifidobacterium catenulatum group between IBS patients and controls,,1
Campylobacter jejuni,Irritable Bowel Syndrome,increase,15667495,One case of Campylobacter jejuni was identified by sequencing in IBS patients,,1
Capnocytophaga gingivalis,oral squamous cell carcinoma,increase,15987522; 29184122; 29247187,Elevated salivary counts in OSCC subjects compared to controls || Increased abundance in saliva of individuals with OSCC || Elevated counts in oral cancer samples,Inflammation-induced DNA damage in epithelial cells caused by microorganism-secreted endotoxins may contribute to OSCC progression,3
Prevotella melaninogenica,oral squamous cell carcinoma,increase,15987522; 29184122; 29247187,Elevated salivary counts in OSCC subjects compared to controls || Increased abundance in saliva of individuals with OSCC || Elevated counts in oral cancer samples,Inflammation-induced DNA damage in epithelial cells caused by microorganism-secreted endotoxins may contribute to OSCC progression,3
Streptococcus mitis,oral squamous cell carcinoma,increase,15987522; 29184122; 29247187,Elevated salivary counts in OSCC subjects compared to controls || Increased abundance in saliva of individuals with OSCC || Elevated counts in oral cancer samples,Inflammation-induced DNA damage in epithelial cells caused by microorganism-secreted endotoxins may contribute to OSCC progression,3
Firmicutes,Crohns disease,decrease,16188921; 18401439,Reduced complexity and proportion of Firmicutes in fecal microbiota of CD patients compared to healthy individuals || Reduced numbers and a lower diversity of Firmicutes in the gut microbiota in individuals with CD,,2
Bifidobacterium,eczema,decrease,16601353; 27812181,Toddlers with eczema harbored significantly lower counts of Bifidobacterium compared to healthy controls || Enriched in healthy infants compared to those with eczema,,2
Clostridium,eczema,decrease,16601353,Toddlers with eczema had significantly lower counts of Clostridium compared to healthy controls,,1
Enterococcus,eczema,increase,16601353,Toddlers with eczema had significantly higher counts of total lactic-acid-producing bacteria (LAB) and enterococci compared to healthy controls,,1
Bifidobacterium spp,colon health,increase,16763747,"Ingestion of LKFibre stimulated colonic bifidobacteria growth, suggesting beneficial contribution to colon health",,1
Clostridium ramosum,colon health,decrease,16763747,Significantly lower levels of the clostridia group (including C. ramosum) were observed on the LKFibre diet compared with the control,,1
Clostridium spiroforme,colon health,decrease,16763747,Significantly lower levels of the clostridia group (including C. spiroforme) were observed on the LKFibre diet compared with the control,,1
Clostridium cocleatum,colon health,decrease,16763747,Significantly lower levels of the clostridia group (including C. cocleatum) were observed on the LKFibre diet compared with the control,,1
Bacteroidetes,Crohn's disease,increase,16849736; 26937623,Unclassified members of the phylum Bacteroidetes were more prevalent in CD than in UC patients || Detected more frequently in inflamed CD mucosa than in inflamed UC mucosa,,2
Escherichia coli,eczema,increase,17047098,Presence of E. coli was associated with a higher risk of developing eczema (OR adj= 1.87; 95% CI 1.15 to 3.04),"An enhanced T helper 2 (Th2) immune response and the elaboration of cytokines such as interleukin (IL)-4, IL-13 and IL-5 contribute to the induction of atopic diseases.",1
Clostridium difficile,eczema,increase,17047098,Infants colonised with C. difficile were at higher risk of developing eczema (OR adj= 1.40; 95% CI 1.02 to 1.91),"An enhanced T helper 2 (Th2) immune response and the elaboration of cytokines such as interleukin (IL)-4, IL-13 and IL-5 contribute to the induction of atopic diseases.",1
